,Tarih,Yıl,Ay,Alış (Forex),Satış (Forex),Gun,Haftalik_Ortalama,Onceki_Gun_Fiyat
217,2021-11-04,2021,11,11.199,11.2192,4,11.108371428571429,11.1892
218,2021-11-05,2021,11,11.1995,11.2197,5,11.08997142857143,11.199
219,2021-11-08,2021,11,11.2013,11.2215,8,11.121414285714286,11.1995
220,2021-11-09,2021,11,11.2469,11.2672,9,11.156971428571428,11.2013
221,2021-11-10,2021,11,11.3156,11.336,10,11.19897142857143,11.2469
222,2021-11-11,2021,11,11.3726,11.393,11,11.2463,11.3156
223,2021-11-12,2021,11,11.3448,11.3653,12,11.268528571428572,11.3726
224,2021-11-15,2021,11,11.4282,11.4488,15,11.301271428571429,11.3448
225,2021-11-16,2021,11,11.5606,11.5814,16,11.352857142857143,11.4282
226,2021-11-17,2021,11,11.7627,11.7839,17,11.433057142857141,11.5606
227,2021-11-18,2021,11,12.1224,12.1443,18,11.558128571428572,11.7627
228,2021-11-19,2021,11,12.4815,12.504,19,11.724685714285714,12.1224
229,2021-11-22,2021,11,12.5938,12.6165,22,11.89914285714286,12.4815
230,2021-11-23,2021,11,13.6789,13.7035,23,12.232585714285715,12.5938
231,2021-11-24,2021,11,14.1524,14.1779,24,12.621757142857144,13.6789
232,2021-11-25,2021,11,13.464,13.4883,25,12.893671428571428,14.1524
233,2021-11-26,2021,11,13.5971,13.6216,26,13.15572857142857,13.464
234,2021-11-29,2021,11,14.2793,14.305,29,13.463857142857142,13.5971
235,2021-11-30,2021,11,14.6798,14.7062,30,13.7779,14.2793
236,2021-12-01,2021,12,15.1049,15.1321,1,14.136628571428572,14.6798
237,2021-12-02,2021,12,15.1838,15.2112,2,14.351614285714286,15.1049
238,2021-12-03,2021,12,15.4548,15.4826,3,14.537671428571429,15.1838
239,2021-12-06,2021,12,15.5503,15.5783,6,14.835714285714285,15.4548
240,2021-12-07,2021,12,15.4101,15.4378,7,15.094714285714286,15.5503
241,2021-12-08,2021,12,15.3754,15.4031,8,15.251299999999999,15.4101
242,2021-12-09,2021,12,15.5577,15.5858,9,15.376714285714286,15.3754
243,2021-12-10,2021,12,15.6094,15.6375,10,15.448785714285714,15.5577
244,2021-12-13,2021,12,16.0663,16.0953,13,15.574857142857143,15.6094
245,2021-12-14,2021,12,16.0096,16.0384,14,15.654114285714286,16.0663
246,2021-12-15,2021,12,16.494,16.5237,15,15.788928571428572,16.0096
247,2021-12-16,2021,12,17.1957,17.2267,16,16.044014285714287,16.494
248,2021-12-17,2021,12,18.5044,18.5377,17,16.491014285714282,17.1957
249,2021-12-20,2021,12,19.6788,19.7143,20,17.079742857142858,18.5044
250,2021-12-21,2021,12,14.7024,14.7289,21,16.95017142857143,19.6788
251,2021-12-22,2021,12,14.0483,14.0736,22,16.661885714285713,14.7024
252,2021-12-23,2021,12,12.9683,12.9917,23,16.227414285714286,14.0483
253,2021-12-24,2021,12,13.2926,13.3166,24,15.770071428571427,12.9683
254,2021-12-27,2021,12,12.8903,12.9135,27,15.155014285714286,13.2926
255,2021-12-28,2021,12,13.4,13.4241,28,14.425814285714285,12.8903
256,2021-12-29,2021,12,13.8011,13.8259,29,13.586142857142857,13.4
257,2021-12-30,2021,12,14.6823,14.7088,30,13.583271428571427,13.8011
258,2021-12-31,2021,12,15.0867,15.1139,31,13.731614285714285,14.6823
259,2022-01-03,2022,1,15.2342,15.2616,3,14.055314285714285,15.0867
260,2022-01-04,2022,1,14.8902,14.917,4,14.283542857142859,15.2342
261,2022-01-05,2022,1,15.1137,15.1409,5,14.601171428571428,14.8902
262,2022-01-06,2022,1,15.4105,15.4383,6,14.888385714285715,15.1137
263,2022-01-07,2022,1,15.5501,15.5781,7,15.138242857142856,15.4105
264,2022-01-10,2022,1,15.5443,15.5723,10,15.261385714285714,15.5501
265,2022-01-11,2022,1,15.5689,15.597,11,15.330271428571427,15.5443
266,2022-01-12,2022,1,15.5908,15.6189,12,15.381214285714288,15.5689
267,2022-01-13,2022,1,15.5177,15.5457,13,15.470857142857142,15.5908
